Food,Portion,Grains,Vegetables,Fruits,Milk,Meats,Drybeans,Oils,Solid_Fats,Added_Sugars,Alcohol,Calories,Saturated_Fats
"Meat & veggie pizza, thick crust",0.25 large pizza,6.03273,0.87152,0,0.94482,0.47241,0,0.35174,230.51979,4.28057,0,727.62,11.2944
Meat & cheese calzone or stromboli,0.5 calzone or stromboli,4.93112,0,0,1.13208,0.87768,0,0,315.54504,0,0,737.76,13.3984
Bacon cheeseburger on bun,1 cheeseburger,4.39488,0.47808,0,0.4176,2.56608,0,2.11456,216.40608,21.86098,0,745.92,14.7168
"Meat pizza, thick crust",0.25 large pizza,6.5076,0.45356,0,1.01804,0.49054,0,0.37961,249.20411,4.6076,0,759.22,12.0292
"Beef, bean, and cheese burrito",1 Taco Bell Big Beef,2.08065,0.06693,0,1.19019,1.55976,0.57618,0.56195,305.16588,0,0,765.33,20.3118
Fried steak (eat lean & fat),1 large steak,0,0,0,0,8.05664,0,0,280.32048,0,0,783.36,17.2992
"Meat pizza, thick crust","1 small pizza (8"" across)",6.732,0.4692,0,1.05315,0.50745,0,0.3927,257.79735,4.76649,0,785.4,12.444
Roasted Cornish game hen,1 hen,0,0,0,0,9.73998,0,0,269.80938,0,0,792.54,15.3612
"Meat & veggie pizza, thick crust","1 small pizza (8"" across)",6.62156,0.95658,0,1.03704,0.51852,0,0.38608,253.01988,4.69838,0,798.64,12.3968
Breaded fried steak (eat lean & fat),1 medium steak,1.97559,0,0,0.04617,5.32899,0,2.19672,242.86635,7.38598,0,801.9,16.1109
"Wrap sandwich (meat, vegetables, rice)",1 wrap,5.14837,0.51094,0.2598,0,2.91409,0.12124,0.03031,14.40158,0,0,818.37,8.85052
Chicken or turkey pot pie,1 16-ounce pie (Hungry Man),4.87596,0.74456,0,0,2.93738,0,0,440.51166,0,0,976.1,17.5698
Breaded fried steak (eat lean & fat),1 large steak,2.63412,0,0,0.06156,7.10532,0,2.92896,323.8218,9.84797,0,1069.2,21.4812
Roasted duck,1 duck half,0,0,0,0,10.6578,0,0,719.60778,0,0,1283.52,36.7866
Potato skin with cheese & bacon,1 order (10 halves),0,3.444,0,1.659,1.3398,0,0,673.2558,0,0,1667.4,30.87
